"Incident-based crime statistics, by detailed violations, police services in the Atlantic provinces c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 35-10-0178-01 (formerly CANSIM 252-0075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Province or territory, Policing district/zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violations,"Total, all violations  [0]",,,,,"Total, all Criminal Code violations (including traffic)  [25]",,,,,"Total, all Criminal Code violations (excluding traffic)  [50]",,,,,Total violent Criminal Code violations  [100] 8,,,,,Total property crime violations  [200],,,,,Total other Criminal Code violations  [300],,,,,Total Criminal Code traffic violations  [900] 9,,,,,Total impaired driving  [910] 9 10 11,,,,,Total other Criminal Code traffic violations  [920] 9,,,,,Total Federal Statute violations  [400],,,,,Total Drug violations  [401],,,,,"Possession, cannabis (pre-legalization)  [4140] 12",,,,,"Possession, cocaine  [4120] 13",,,,,"Total, possession, other Controlled Drugs and Substances Act drugs  [410] 13",,,,,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 12 14 15",,,,,"Total cocaine, trafficking, production or distribution  [430]",,,,,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",,,,,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 14 16",,,,,Total Cannabis Act  [450] 12 15,,,,,Youth Criminal Justice Act  [6450],,,,,Total other Federal Statutes  [610],,,,,Bankruptcy Act  [6100],,,,,Income Tax Act  [6150],,,,,Canada Shipping Act  [6200],,,,,Canada Health Act  [6250],,,,,Customs Act  [6300],,,,,Competition Act  [6350],,,,,Excise Act  [6400],,,,,Total Immigration and Refugee Protection Act  [620] 17,,,,,Firearms Act  [6550],,,,,National Defence Act  [6560],,,,,Quarantine Act  [6600],,,,,Other federal statutes  [6900],,,,
"Bay Roberts, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10028]",,1062,1145,1009,1175,1154,1016,1098,976,1132,1075,881,988,880,1029,942,290,328,317,322,220,428,531,440,547,547,163,129,123,160,175,135,110,96,103,133,120,98,76,94,90,15,12,20,9,43,46,47,33,43,79,38,42,28,35,67,0,0,0,0,0,6,3,6,7,6,3,5,4,0,1,0,0,0,0,0,15,20,12,14,51,11,9,5,10,7,0,0,0,0,1,3,5,1,4,1,0,0,0,0,0,8,5,5,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,6,0,0,0,0,0,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,5,2
"Twillingate, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10029] 18",,206,201,216,207,290,200,195,206,195,271,170,174,179,174,251,51,63,59,45,67,96,82,90,92,134,23,29,30,37,50,30,21,27,21,20,21,17,22,16,20,9,4,5,5,0,6,6,10,12,19,6,6,5,8,15,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,3,2,4,6,11,1,2,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"Whitbourne, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10032] 18",,322,328,341,392,462,315,318,332,376,433,253,265,300,320,381,73,70,92,90,112,141,157,168,174,221,39,38,40,56,48,62,53,32,56,52,55,49,25,48,46,7,4,7,8,6,7,10,9,16,29,5,5,8,14,29,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,3,2,4,9,26,1,2,1,4,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Placentia, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10033] 18",,193,185,209,332,350,185,177,188,301,319,162,154,176,275,289,58,46,68,94,107,81,81,81,121,125,23,27,27,60,57,23,23,12,26,30,22,22,9,18,28,1,1,3,8,2,8,8,21,31,31,4,5,20,30,30,0,0,0,0,0,0,1,2,3,6,0,0,1,2,1,0,0,0,0,0,3,2,11,23,17,0,0,6,1,6,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lewisporte, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10035] 18",,338,297,281,401,469,324,284,270,384,453,290,257,250,344,410,85,62,67,108,139,152,164,147,188,222,53,31,36,48,49,34,27,20,40,43,34,26,19,39,37,0,1,1,1,6,14,13,11,17,16,13,9,5,12,13,0,0,0,0,0,0,0,0,1,3,2,0,0,1,0,0,0,0,0,0,5,4,1,3,7,6,3,3,7,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,2,1
"Ferryland, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10036] 18",,273,277,310,422,451,268,268,296,372,417,235,235,279,317,349,48,53,81,75,96,144,142,175,191,204,43,40,23,51,49,33,33,17,55,68,30,31,13,34,31,3,2,4,21,37,5,9,14,50,34,5,8,10,25,20,0,0,0,0,0,0,1,4,11,8,0,0,0,1,2,0,0,0,0,0,3,2,6,12,8,1,3,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,4,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,25,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Holyrood, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10037] 18",,448,433,495,522,624,439,423,472,476,598,355,356,415,410,506,78,80,92,113,112,214,216,237,233,270,63,60,86,64,124,84,67,57,66,92,64,50,46,58,49,20,17,11,8,43,9,10,23,46,26,9,8,19,32,19,0,0,0,0,0,1,2,2,7,9,0,0,0,0,1,0,0,0,0,0,6,4,13,17,6,2,1,3,4,2,0,0,0,0,0,0,1,1,4,1,0,0,0,0,0,0,2,4,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0
"Carmanville, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10039] 18",,174,213,155,225,255,162,204,142,199,239,143,186,128,176,215,46,65,34,59,58,75,95,77,88,118,22,26,17,29,39,19,18,14,23,24,19,15,11,21,23,0,3,3,2,1,12,9,13,26,16,9,4,10,23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,6,22,10,1,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,5,3,3,5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Glovertown, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10040] 18",,420,477,367,424,412,392,435,348,410,397,336,361,328,359,355,102,125,115,154,133,183,185,163,138,168,51,51,50,67,54,56,74,20,51,42,35,52,14,45,36,21,22,6,6,6,28,42,19,14,15,23,36,13,14,11,0,0,0,0,0,3,3,0,2,2,0,0,0,0,0,0,0,0,0,0,12,24,11,7,7,3,7,1,3,2,0,0,0,0,0,5,2,1,2,0,0,0,0,0,0,5,6,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2
"New-Wes-Valley, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10041] 18",,112,153,157,206,207,105,142,149,202,206,87,133,133,184,188,24,46,46,71,68,51,61,72,83,80,12,26,15,30,40,18,9,16,18,18,17,8,16,12,16,1,1,0,6,2,7,11,8,4,1,7,10,4,4,1,0,0,0,0,0,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,4,10,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gander, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10042] 18",,918,868,1194,1345,1396,874,830,1153,1296,1357,796,768,1100,1231,1273,173,194,231,252,276,439,433,687,748,712,184,141,182,231,285,78,62,53,65,84,70,57,46,51,77,8,5,7,14,7,44,38,41,49,39,42,34,35,40,33,0,0,0,0,0,8,2,6,9,9,0,1,3,2,2,0,0,0,0,0,24,25,22,23,19,4,4,2,5,2,0,0,0,0,0,6,2,2,1,1,0,0,0,0,0,2,4,6,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,5,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,4,3
"Grand Falls-Windsor, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10043] 18",,1724,1727,1711,1845,2190,1639,1646,1648,1771,2056,1527,1527,1552,1657,1897,361,396,342,376,395,886,841,952,994,1094,280,290,258,287,408,112,119,96,114,159,101,104,83,98,115,11,15,13,16,44,85,81,63,74,134,76,73,56,64,127,0,0,0,0,0,9,4,6,12,27,3,1,0,1,12,0,0,0,0,0,43,54,34,43,74,13,10,10,4,14,0,0,0,0,0,8,4,6,4,0,1,0,0,0,0,8,8,7,10,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,4,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,4,6,3
"St. John's, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal [10500] 19",,11262,11414,13766,15151,15722,11139,11325,13663,15039,15624,10492,10708,13008,14344,14973,3255,3524,3649,3981,4144,5531,5391,7338,8275,8149,1706,1793,2021,2088,2680,647,617,655,695,651,479,469,498,465,464,168,148,157,230,187,123,89,103,112,98,85,66,87,103,89,0,0,0,0,0,17,12,4,6,9,23,26,32,42,47,0,0,0,0,0,13,9,11,10,10,17,10,36,45,22,0,0,0,0,0,15,9,4,0,1,3,4,3,1,2,35,19,13,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,2,2,0,0,1,2,0,28,8,2,4,4,0,0,0,0,0,0,0,0,0,0,3,5,3,0,1
"Labrador, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal [10501] 18",,266,230,245,271,219,261,227,240,269,212,240,203,192,227,189,116,75,85,82,70,102,93,66,110,96,22,35,41,35,23,21,24,48,42,23,18,20,41,32,22,3,4,7,10,1,5,3,5,2,7,2,2,3,2,6,0,0,0,0,0,0,0,0,1,0,1,1,2,0,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1
"Corner Brook, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal [10502]",,1143,1353,1451,1315,1683,1129,1334,1427,1298,1651,1014,1218,1338,1236,1541,333,356,328,352,345,435,527,632,577,880,246,335,378,307,316,115,116,89,62,110,73,88,64,43,85,42,28,25,19,25,14,19,24,17,32,12,16,22,16,28,0,0,0,0,0,4,5,5,2,5,3,7,5,6,3,0,0,0,0,0,3,1,11,7,12,0,1,0,1,7,0,0,0,0,0,2,2,1,0,1,1,0,2,0,1,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"Churchill Falls, Newfoundland and Labrador, Royal Newfoundland Constabulary, municipal [10503]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"St. John's, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10700]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"St. John's (offshore), Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10701]",,7,9,5,4,1,6,9,5,4,1,6,9,5,4,1,1,1,1,0,0,0,0,0,0,0,5,8,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baie Verte, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10750]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Rocky Harbour, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10752]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Cartwright, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10758]",,41,33,36,32,23,41,32,35,31,22,34,23,30,29,22,8,7,6,8,6,18,12,16,19,14,8,4,8,2,2,7,9,5,2,0,7,8,4,2,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corner Brook, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10763]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Deer Lake District, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10765] 18",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Forteau, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10769]",,43,37,33,50,31,39,34,31,49,31,31,28,25,44,26,13,12,9,16,5,15,10,12,21,15,3,6,4,7,6,8,6,6,5,5,8,6,5,5,5,0,0,1,0,0,4,3,2,1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Happy Valley-Goose Bay, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10771] 18",,2761,3501,3700,3625,4750,2670,3453,3646,3573,4680,2551,3358,3575,3499,4620,444,522,525,559,604,1112,1089,1511,1703,2556,995,1747,1539,1237,1460,119,95,71,74,60,108,82,62,67,53,11,13,9,7,7,91,48,54,52,70,85,46,53,44,68,0,0,0,0,0,11,9,11,11,18,5,5,4,2,3,0,0,0,0,0,59,26,27,25,40,5,4,4,4,7,0,0,0,0,0,5,2,7,2,0,2,0,0,0,0,4,2,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,2,1,4,1
"Mary's Harbour, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10775]",,37,41,54,41,38,33,41,54,41,35,27,34,44,37,26,6,15,29,10,8,15,16,10,23,14,6,3,5,4,4,6,7,10,4,9,6,7,10,4,7,0,0,0,0,2,4,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hopedale, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10777] 18",,368,516,484,489,572,368,516,481,472,565,337,477,441,440,544,95,138,130,112,157,152,219,196,244,268,90,120,115,84,119,31,39,40,32,21,30,39,37,28,20,1,0,3,4,1,0,0,3,17,7,0,0,3,15,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"Flowers Cove, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10783]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Nain, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10785]",,1077,1195,1051,1040,1042,1072,1190,1046,1037,1041,1000,1123,987,968,989,229,275,258,218,225,515,573,536,570,566,256,275,193,180,198,72,67,59,69,52,66,62,54,64,47,6,5,5,5,5,5,5,5,3,1,5,5,5,3,1,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Northern Peninsula District, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10787] 18",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Roddickton, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10788]",,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
